name,populationServed,ageDistribution,hospitalBeds,ICUBeds,hemisphere,srcPopulation,srcHospitalBeds,srcICUBeds
Japan,126496796,Japan,31289,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None
JP-Aichi,7539185,Japan,1800,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.youtube.com/watch?v=9gj2zhgPy-g&t=1013,None
JP-Akita,980684,Japan,121,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None
JP-Aomori,1262823,Japan,129,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None
JP-Chiba,6268585,Japan,1333,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None
JP-Ehime,1351510,Japan,137,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None
JP-Fukui,773731,Japan,237,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None
JP-Fukuoka,5111494,Japan,1256,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None
JP-Fukushima,1862705,Japan,429,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None
JP-Gifu,1999406,Japan,618,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None
JP-Gunma,1949440,Japan,302,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None
JP-Hiroshima,2819962,Japan,324,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None
JP-Hokkaido,5285430,Japan,759,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None
JP-Hyogo,5483450,Japan,1087,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None
JP-Ibaraki,2882943,Japan,326,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None
JP-Ishikawa,1142965,Japan,340,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None
JP-Iwate,1240522,Japan,38,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None
JP-Kagawa,961900,Japan,144,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None
JP-Kagoshima,1613969,Japan,441,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None
JP-Kanagawa,9179835,Japan,3385,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None
JP-Kochi,705880,Japan,93,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None
JP-Kumamoto,1756442,Japan,1023,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.pref.kumamoto.jp/kiji_32898.html,None
JP-Kyoto,2591779,Japan,590,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.pref.kyoto.jp/koho/kaiken/documents/20050101.pdf,None
JP-Mie,1790376,Japan,235,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None
JP-Miyagi,2313215,Japan,588,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None
JP-Miyazaki,1079727,Japan,256,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None
JP-Nagano,2063865,Japan,500,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None
JP-Nagasaki,1339438,Japan,102,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None
JP-Nara,1340070,Japan,348,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None
JP-Niigata,2245057,Japan,450,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.pref.niigata.lg.jp/sec/kikitaisaku/byosyonoseibijokyo.html,None
JP-Oita,1142943,Japan,323,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None
JP-Okayama,1899739,Japan,117,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None
JP-Okinawa,1448101,Japan,487,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None
JP-Osaka,8824566,Japan,2639,None,Northern,http://www.citypopulation.de/Japan-Cities.html,http://www.pref.osaka.lg.jp/attach/38215/00362682/031_shiryo3.pdf,None
JP-Saga,819110,Japan,341,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None
JP-Saitama,7322645,Japan,1630,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None
JP-Shiga,1412881,Japan,171,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None
JP-Shimane,679626,Japan,298,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None
JP-Shizuoka,3656487,Japan,200,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.pref.shizuoka.jp/kinkyu/documents/honnbuinnkaigisiryou9.pdf,None
JP-Tochigi,1952926,Japan,241,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None
JP-Tokushima,736475,Japan,330,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None
JP-Tokyo,13843403,Japan,4800,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.youtube.com/watch?v=JVCYiUVV5q0#t=770,None
JP-Tottori,560517,Japan,734,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None
JP-Toyama,1050246,Japan,305,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None
JP-Wakayama,934051,Japan,117,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None
JP-Yamagata,1089806,Japan,150,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None
JP-Yamaguchi,1368495,Japan,914,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None
JP-Yamanashi,818391,Japan,101,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None
